gene,log2FC,U_stat,pvalue,qvalue,neg_log10_q,significant,direction
TNPO1,0.1956718371222319,16525.0,8.689245434374809e-09,6.59513728469048e-07,6.1807761597289925,False,ns
MSC,0.6959010147015814,16517.0,9.213853155166778e-09,6.958521935096104e-07,6.157482999412671,False,ns
TMBIM4,0.15151813593372765,16516.0,9.281609067607684e-09,6.974991368627953e-07,6.15645632548226,False,ns
CYP3A7,-0.5950863763513574,7253.0,9.913068618119813e-09,7.376489295247978e-07,6.132150283497489,False,ns
S100A6,-0.18371028009701007,7253.0,9.912983148389252e-09,7.376489295247978e-07,6.132150283497489,False,ns
CHST15,0.26879314773196405,16506.0,9.985788088988172e-09,7.394354301992217e-07,6.1310997439558115,False,ns
IGDCC4,0.7341323030740199,16499.0,1.0509330704025676e-08,7.744254373160668e-07,6.11102039032703,False,ns
C21orf96,0.3784680010062562,16486.0,1.1553191552412696e-08,8.472340471769311e-07,6.071996599874185,False,ns
COL12A1,-0.3234389650404701,7276.0,1.172259430471802e-08,8.555239497385555e-07,6.067767828210889,False,ns
SYNE1,-0.1918188478901346,7280.0,1.2068430947444525e-08,8.723776301387419e-07,6.059295479305927,False,ns
NCKAP5,-0.5041536696660653,7280.0,1.2068465239073504e-08,8.723776301387419e-07,6.059295479305927,False,ns
UXT,0.12800602192299415,16478.0,1.2244960007564913e-08,8.809407247148596e-07,6.055053312694994,False,ns
SH3GL3,-0.46142324628331544,7298.0,1.3751487273721724e-08,9.84658381203282e-07,6.0067144181237255,False,ns
SSR4,0.28719204786449026,16457.0,1.4258072169859847e-08,1.0113960447896778e-06,5.995078749071456,False,ns
STEAP1,0.7552929673803117,16457.0,1.4258152410078463e-08,1.0113960447896778e-06,5.995078749071456,False,ns
GNB1,-0.16308179445370996,7305.0,1.4465799155363029e-08,1.021352703155399e-06,5.990824257342252,False,ns
RNF130,0.13788621240910182,16453.0,1.4676382272811215e-08,1.0246713678381655e-06,5.989415399017071,False,ns
RELT,0.29337150503524256,16453.0,1.4676382272811215e-08,1.0246713678381655e-06,5.989415399017071,False,ns
PCDHGA3,-0.3239090915816609,7308.0,1.478280827118302e-08,1.0246713678381655e-06,5.989415399017071,False,ns
STARD7,-0.16437929329657308,7308.0,1.4782766763075603e-08,1.0246713678381655e-06,5.989415399017071,False,ns
CHRM3,-0.4735699370005815,7312.0,1.521614383920807e-08,1.0499139249053569e-06,5.978846304235712,False,ns
TIMP4,0.7911810367924534,16444.0,1.566171955174625e-08,1.0757687909299007e-06,5.968281059165099,False,ns
STARD13,-0.27340849358804675,7319.0,1.6004102703469348e-08,1.0943345902642554e-06,5.960849873168041,False,ns
MFN2,-0.133998893813974,7321.0,1.6236445653010148e-08,1.1003091295209556e-06,5.958485283583324,False,ns
SYNGR1,0.27409952801811244,16439.0,1.623635497743908e-08,1.1003091295209556e-06,5.958485283583324,False,ns
SEC14L4,-0.5563827423469014,7323.0,1.6472109194456787e-08,1.1113183003193513e-06,5.954161533971986,False,ns
DYM,0.11099414317861189,16436.0,1.659106769085399e-08,1.114391183837007e-06,5.9529623323576795,False,ns
AFF3,-0.4361947977004794,7328.0,1.7075775966604785e-08,1.1418955029650249e-06,5.942373637387999,False,ns
HLA-F-AS1,0.13458848833633397,16428.0,1.7574126846020117e-08,1.1649574040287571e-06,5.933689954065828,False,ns
VSIG2,-0.3485730166660499,7332.0,1.7574078003007686e-08,1.1649574040287571e-06,5.933689954065828,False,ns
MST1R,-0.22822176557113494,7336.0,1.8086539384599654e-08,1.1937115993835771e-06,5.923100586041961,False,ns
OGFRL1,0.2785875774538713,16421.0,1.848032730503516e-08,1.214421508616596e-06,5.915630549591891,False,ns
CR1,0.5895749267819292,16417.0,1.9018577315185966e-08,1.2444051881229437e-06,5.905038186916863,False,ns
SLC5A9,-0.9847760403396988,7348.0,1.9712621154100242e-08,1.284281498365844e-06,5.891339773940226,False,ns
PIM2,0.5453457694866302,16407.0,2.0431173393905332e-08,1.3254068893994999e-06,5.877650776297804,False,ns
VAV1,0.24835502635409767,16406.0,2.057797264700256e-08,1.3292494671553144e-06,5.876393505105605,False,ns
HTT,-0.16061983861220241,7357.0,2.102430938196315e-08,1.3523263407550875e-06,5.868918492649547,False,ns
FCGR2A,0.29916144458820426,16402.0,2.117524373588208e-08,1.3562877633362446e-06,5.86764815650861,False,ns
MTCH1,-0.12603312280220003,7362.0,2.178915039601384e-08,1.3839415294962175e-06,5.858882258111606,False,ns
RPL7,0.18450910821509225,16398.0,2.1789329746350197e-08,1.3839415294962175e-06,5.858882258111606,False,ns
LNX1,-0.3856445727809312,7365.0,2.2261143042419707e-08,1.4080172974330465e-06,5.851392009871762,False,ns
ZSWIM5,-0.23885363909819457,7368.0,2.2742867156136873e-08,1.4325175246064636e-06,5.843900056415839,False,ns
TNFRSF17,0.9391927409517979,16376.0,2.5488446097606915e-08,1.5988207097589793e-06,5.796200234895424,False,ns
RALGPS1,-0.22430745055294476,7393.0,2.71713110477935e-08,1.6973683197757418e-06,5.770223907894594,False,ns
