,ROC_AUC,F1,Precision,Recall,Accuracy,CV_AUC_train
LogisticRegression,0.9101239669421488,0.8536585365853658,0.9210526315789473,0.7954545454545454,0.8181818181818182,0.9585434173669467
RandomForest,0.921487603305785,0.8817204301075269,0.8367346938775511,0.9318181818181818,0.8333333333333334,0.9290943043884221
XGBoost,0.9338842975206612,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8787878787878788,0.9190849673202616
